Ticker,ESG Score,Governance Score,Environment Score,Social Score,ESG Score Date,ESG Status,CEO Full Name,CEO Gender,CEO Status
MMM,33.61,7.72,12.33,13.56,01/08/2022,success,Mr. Michael F. Roman,male,success
AOS,25.43,6.27,7.29,11.87,01/01/2023,success,Mr. Kevin J. Wheeler,male,success
ABT,24.98,8.36,3.03,13.59,01/08/2022,success,Mr. Robert B. Ford,male,success
ABBV,27.84,9.95,1.12,16.77,01/08/2022,success,Mr. Richard A. Gonzalez,male,success
ACN,9.71,4.83,0.29,4.58,01/08/2022,success,Ms. Julie T. Spellman Sweet,female,success
ADM,36.4,5.01,18.23,13.16,01/08/2022,success,Mr. Juan Ricardo Luciano,male,success
ADBE,12.46,4.64,1.89,5.93,01/08/2022,success,Mr. Shantanu  Narayen,male,success
ADP,13.97,5.94,1.07,6.96,01/08/2022,success,Ms. Maria  Black,female,success
AES,34.15,6.47,16.48,11.2,01/01/2023,success,Mr. Andres Ricardo Gluski Weilert,male,success
AFL,17.3,9.57,0.47,7.26,01/08/2022,success,Mr. Daniel Paul Amos,male,success
A,15.24,6.26,0.34,8.65,01/01/2023,success,Mr. Michael R. McMullen,male,success
ABNB,,,,,,An error occurred: 'symbolSeries',Mr. Brian  Chesky,male,success
APD,10.81,3.59,5.94,1.28,01/08/2022,success,Mr. Seifollah  Ghasemi,male,success
AKAM,16.55,6.72,2.93,6.9,01/01/2023,success,Dr. F. Thomson Leighton,male,Manually added gender
ALK,,,,,,An error occurred: 'symbolSeries',Mr. Benito  Minicucci,male,success
ALB,28.8,7.73,15.53,5.54,01/01/2023,success,Mr. Jerry Kent Masters Jr.,male,success
ARE,13.85,6.27,3.91,3.66,01/01/2023,success,Mr. Peter M. Moglia,male,success
ALGN,,,,,,An error occurred: 'symbolSeries',Mr. Joseph M. Hogan,male,success
ALLE,23.72,6.43,12.75,4.54,01/01/2023,success,Mr. John H. Stone,male,success
LNT,21.87,6.18,10.04,5.65,01/01/2023,success,Mr. John O. Larsen,male,success
ALL,19.22,9.94,1.44,7.85,01/08/2022,success,Mr. Thomas Joseph Wilson II,male,success
GOOGL,24.14,11.39,1.66,11.1,01/08/2022,success,Mr. Sundar  Pichai,male,success
GOOG,,,,,,An error occurred: 'symbolSeries',Mr. Sundar  Pichai,male,success
MO,23.99,6.35,4.66,12.98,01/08/2022,success,Mr. William F. Gifford Jr.,male,success
AMZN,30.28,9.89,5.59,14.8,01/08/2022,success,Mr. Andrew R. Jassy,male,success
AMCR,,,,,,An error occurred: 'symbolSeries',"Mr. Ronald Stephen Delia B.Sc., MBA",male,success
